,ID,Color,Amplitude
0,1000359,z,2.666
1,1000735,z,3.6635
2,1000743,z,1.4185
3,1000837,z,0.586
4,100089,z,2.5655
5,1001265,i,0.8555
6,1001603,z,3.2935
7,1001722,i,1.729
8,100177,z,1.7115
9,1001793,z,0.757
10,1001802,z,3.1415
11,1001937,z,2.7675
12,1001981,z,3.699
13,1002019,z,3.4995
14,1002076,z,0.808
15,1002162,z,0.475
16,1002198,z,3.9185
17,1002453,i,0.6235
18,100286,z,0.891
19,1003180,z,1.1275
20,1003188,z,5.645
21,1003235,z,0.56
22,1003252,z,2.577
23,1003323,r,0.4655
24,1003447,z,1.197
25,1003674,z,1.561
26,1003694,z,0.5925
27,1003721,z,0.8375
28,1003722,z,1.0355
29,1003737,z,1.2275
30,1003795,z,1.6045
31,1004088,z,0.935
32,1004154,z,1.3115
33,1004203,z,0.539
34,1004332,i,0.918
35,1004437,i,0.997
36,1004486,z,1.628
37,1004621,z,1.2125
38,1004834,z,3.541
39,100512,z,1.216
40,1005194,z,2.938
41,100520,z,0.567
42,1005316,i,0.4835
43,1005384,z,1.2675
44,100539,z,1.132
45,1005458,z,0.7065
46,100552,z,0.7645
47,1005673,z,0.719
48,1005945,z,1.6505
49,1006052,i,0.6145
50,1006058,z,2.824
51,1006209,i,0.5085
52,1006227,z,2.923
53,1006243,z,2.9575
54,1006465,z,0.862
55,1006508,z,0.847
56,1006615,r,0.9095
57,1006627,z,0.4255
58,1006712,i,0.776
59,1007091,z,1.314
60,1007548,z,0.943
61,1007585,z,2.2635
62,1007681,r,1.196
63,1007688,z,2.9555
64,100801,z,0.542
65,1008247,i,0.734
66,1008374,z,2.6215
67,1008471,z,0.823
68,1008479,z,2.771
69,1008487,z,2.337
70,1008531,z,1.4735
71,1008606,z,3.9355
72,1008621,z,3.761
73,1008737,i,0.8005
74,1008739,z,0.979
75,1008962,z,3.6195
76,1008973,z,1.5195
77,1009002,z,2.433
78,10091,z,1.322
79,1009363,i,0.5075
80,1009473,i,1.0415
81,100976,z,0.698
82,1009823,z,3.2455
83,1009841,z,2.312
84,1009853,z,0.541
85,1010231,z,0.522
86,1010581,r,0.6025
87,1010637,z,2.048
88,1010706,z,1.567
89,1010882,z,0.7445
90,1011129,z,0.784
91,101129,z,0.588
92,1011326,z,1.0085
93,1011389,z,0.7215
94,1011399,z,1.959
95,1011484,i,0.461
96,1011681,z,3.3265
97,1011913,z,3.6
98,1012129,z,0.645
99,1012310,z,0.9845
100,1012375,z,2.1705
101,1012973,z,0.9215
102,1013073,z,1.5225
103,1013184,z,1.041
104,1013289,z,0.465
105,1013401,z,3.0065
106,1013515,z,2.1635
107,1013675,i,0.4145
108,1013801,z,1.301
109,1013828,z,0.6475
110,1013845,z,1.499
111,1013899,i,0.434
112,1013926,z,1.3845
113,1014099,i,0.364
114,1014119,z,0.812
115,1014180,z,2.45
116,1014195,z,1.765
117,1014219,z,0.8645
118,1014491,z,2.1035
119,1014641,z,1.374
120,101469,z,3.233
121,10150,z,3.455
122,1015182,z,0.778
123,1015534,z,3.4395
124,1015701,z,2.859
125,1015998,z,4.847
126,1016406,i,0.737
127,1016763,z,1.0655
128,101718,z,1.6855
129,1017249,z,1.546
130,1017284,r,0.9915
131,1017411,z,4.1395
132,1017647,z,3.0775
133,1017734,z,1.741
134,1018,z,0.7035
135,101818,z,0.74
136,1018210,z,0.87
137,1018214,z,1.0265
138,1018326,z,0.779
139,1018370,z,0.6765
140,1018525,z,1.7035
141,1018542,i,0.833
142,1018635,z,1.907
143,1018721,z,1.75
144,1018928,z,2.9705
145,1019140,z,1.3875
146,1019544,z,1.1365
147,1019562,z,1.153
148,101965,z,0.538
149,1019778,z,0.8285
150,1019989,z,1.8945
151,1020198,z,0.494
152,1020534,r,0.7175
153,1020569,z,2.6975
154,1020650,z,3.315
155,1020681,z,5.471
156,1020727,z,3.0685
157,1020789,z,1.1935
158,1021266,z,2.973
159,1021420,z,2.834
160,1021519,i,0.461
161,1021534,z,2.6815
162,1021604,r,0.5215
163,102187,z,1.297
164,1021905,z,3.1925
165,1021972,z,2.8355
166,1022177,i,1.7535
167,1022962,z,0.7885
168,1022970,z,1.9295
169,1023080,z,0.7465
170,1023620,z,1.7985
171,1023698,z,0.9975
172,1023832,i,0.644
173,1023914,z,1.4715
174,1023972,z,1.4515
175,1024024,z,0.8905
176,102408,z,2.772
177,1024189,z,3.3275
178,1024260,z,1.343
179,1024280,z,2.6
180,1024475,z,2.565
181,1024859,z,2.995
182,1025031,z,2.5275
183,1025069,i,0.754
184,1025161,z,2.756
185,1025206,z,4.246
186,1025351,z,3.0365
187,1025590,i,1.109
188,1025703,z,1.0995
189,1025740,z,0.596
190,1025798,z,1.9535
191,1026650,z,3.891
192,1026665,i,1.1955
193,1027041,z,4.3895
194,102706,z,2.2315
195,1027365,z,0.574
196,1027475,i,0.5655
197,1027582,z,3.062
198,1027617,z,0.8465
199,1027703,z,0.7665
200,1027764,z,3.0365
201,1027864,z,1.8395
202,1027882,z,1.2385
203,1027921,i,0.8615
204,1028255,z,0.9585
205,1028270,z,1.19
206,1028306,z,0.913
207,1028350,z,2.827
208,102839,z,2.8555
209,1028465,z,2.0215
210,102852,i,1.678
211,1028553,z,2.7945
212,1028764,z,2.3925
213,1028783,z,1.0925
214,1029012,i,1.8475
215,102903,z,1.297
216,1029142,z,1.039
217,1029238,z,1.5135
218,1029278,z,2.7995
219,1029362,z,2.5785
220,1029400,z,4.1765
221,1029472,z,1.2425
222,1029664,z,2.1565
223,1029961,z,4.4465
224,1030121,z,1.3665
225,1030278,z,2.8775
226,1030313,i,0.6535
227,1030766,z,2.685
228,1030945,z,1.5655
229,1031087,i,2.679
230,1031392,i,0.8565
231,1031393,z,1.6775
232,1031481,z,2.816
233,1031549,z,3.0085
234,1031768,z,3.2475
235,1031779,z,2.7575
236,1031929,z,2.9805
237,1032033,z,3.6205
238,1032044,z,3.199
239,1032117,z,3.842
240,1032163,z,2.129
241,1032360,z,3.1555
242,1032361,z,0.6845
243,1032372,z,1.424
244,1032378,z,0.5445
245,1032625,z,2.941
246,103271,z,1.127
247,1032950,z,0.83
248,1033172,z,1.8405
249,1033612,z,2.2785
250,1033769,z,1.2035
251,1033784,z,1.728
252,103425,z,0.5625
253,103455,z,0.5385
254,1034731,z,0.974
255,1034770,z,1.407
256,1034795,z,0.514
257,1034817,z,0.745
258,1034930,z,1.058
259,1034958,z,2.952
260,1035043,z,2.0005
261,1035463,z,1.5345
262,1035657,z,1.319
263,1035686,z,3.388
264,1036284,z,1.8525
265,1036343,z,1.197
266,103646,i,0.825
267,1036528,z,0.862
268,1036789,z,1.8975
269,103697,z,2.944
270,1037546,z,3.0315
271,103780,z,4.115
272,1037946,z,2.602
273,1037979,z,0.649
274,1037988,z,2.614
275,1038155,z,1.2285
276,1038318,z,5.1205
277,1038544,g,1.349
278,1038570,z,0.679
279,1038683,z,1.291
280,1038849,z,1.906
281,103913,z,0.8185
282,1039144,z,1.106
283,1039374,z,2.8045
284,1039427,z,1.6225
285,103979,z,0.6295
286,1040281,z,0.6765
287,1040351,z,1.2835
288,1040362,z,2.7385
289,1040530,i,0.445
290,1040589,z,3.756
291,1040592,u,1.032
292,1040795,z,2.444
293,1041441,z,3.1215
294,1041800,z,4.002
295,104193,z,0.556
296,1042065,u,1.359
297,1042139,z,1.4565
298,1042144,z,3.5755
299,1042657,r,0.82
300,1042746,z,1.2455
301,1043019,z,1.638
302,1043039,z,4.647
303,1043087,z,2.8505
304,1043615,z,1.0215
305,1043692,z,0.81
306,1043719,z,2.0075
307,1043761,z,2.3895
308,104392,z,0.559
309,1043936,z,1.661
310,1044020,z,2.318
311,1044118,z,3.0625
312,1044800,z,2.237
313,1044815,z,0.9015
314,1044940,z,1.431
315,1045019,z,0.769
316,1045060,i,0.5
317,1045090,z,0.827
318,1045155,z,0.9525
319,1045361,z,5.107
320,1045366,z,0.9245
321,1045382,z,3.493
322,1045541,i,1.809
323,1045620,i,1.571
324,1046154,z,1.8765
325,1046265,z,1.4865
326,1046290,z,2.392
327,1046643,i,2.867
328,1046723,z,0.5905
329,1046783,z,1.707
330,1046960,z,1.3855
331,1047344,z,0.952
332,1047593,z,1.757
333,1047737,z,3.0735
334,1047817,z,2.427
335,1047897,z,0.568
336,104794,z,1.3235
337,1048049,z,1.22
338,104822,z,0.8605
339,1048407,i,1.441
340,1048558,z,2.752
341,1048564,z,1.0275
342,1048606,z,4.1305
343,1048865,z,1.142
344,1048924,z,0.6375
345,1048928,i,1.33
346,1048965,z,2.296
347,1049228,z,2.915
348,1049354,z,2.296
349,1049454,z,1.2395
350,1049523,z,0.7635
351,104962,z,0.383
352,1050365,z,1.5615
353,1050452,z,1.2785
354,1050543,z,3.324
355,1050600,z,2.5445
356,1050708,z,3.0165
357,1050726,z,2.7595
358,1050781,z,2.4485
359,1051013,z,2.4655
360,105103,z,0.829
361,1051092,z,2.3825
362,1051105,z,1.608
363,1051287,z,0.894
364,1051416,z,2.2015
365,1051494,z,2.9925
366,1051792,z,1.423
367,1052018,z,2.364
368,1052057,z,0.464
369,1052127,z,2.5295
370,1052147,i,0.786
371,105223,z,1.297
372,1052471,z,1.2955
373,1052528,z,0.98
374,1052697,z,1.141
375,1053260,z,1.129
376,1053362,z,1.3635
377,1053466,z,0.6205
378,1053475,z,1.7785
379,105353,z,3.079
380,1054068,z,3.812
381,1054076,z,0.476
382,1054283,z,0.807
383,1054498,z,1.532
384,1054701,i,0.8695
385,1054760,z,1.423
386,1055287,z,1.2875
387,1055375,z,2.504
388,1055395,i,1.7045
389,1055511,z,3.37
390,1055530,z,1.907
391,1055774,z,1.4835
392,1056138,z,1.6315
393,1056152,z,1.2155
394,1056425,z,3.638
395,1056718,z,1.734
396,1056833,z,1.178
397,1056933,z,0.9715
398,1057037,z,3.118
399,1057044,z,2.6185
400,105725,z,2.1905
401,105736,z,2.64
402,1057421,z,1.853
403,1057424,z,3.366
404,1057724,z,1.192
405,10579,z,0.9565
406,1057980,z,0.7395
407,1058042,z,0.871
408,1058096,z,0.832
409,1058152,z,2.662
410,1058213,z,1.0815
411,105832,z,1.273
412,1058363,z,1.5145
413,1058444,z,2.445
414,1058483,z,0.886
415,1058542,z,1.393
416,1058565,z,3.6825
417,1058597,z,0.8925
418,1058731,i,1.518
419,1058851,z,3.136
420,1059029,z,3.79
421,1059151,z,2.2535
422,1059296,z,0.4675
423,1059555,z,3.407
424,1059685,z,1.807
425,1059724,z,3.8635
426,1059995,z,1.319
427,1060178,z,0.6345
428,1060241,z,2.781
429,1060285,z,2.957
430,1060300,z,3.956
431,106052,z,3.16
432,1060557,z,1.6705
433,1060596,i,0.732
434,1060706,z,2.034
435,1060872,z,0.683
436,106096,z,1.057
437,1060996,z,1.2865
438,1061105,z,2.8925
439,1061321,z,1.4185
440,1061487,z,4.1015
441,1061583,z,1.2795
442,1061610,z,1.3945
443,1061625,z,2.9265
444,1061631,z,1.202
445,1061966,z,3.3765
446,1061983,z,2.951
447,1062039,z,2.021
448,1062045,z,1.8165
449,1062088,z,0.7185
450,1062327,z,0.8895
451,1062480,z,2.533
452,106264,z,2.3915
453,1062647,z,4.149
454,1062881,z,2.956
455,1062985,i,1.329
456,1063170,z,1.5225
457,106325,z,0.9175
458,106332,z,2.134
459,1063616,z,1.2575
460,1063897,z,3.79
461,1064023,z,3.573
462,1064099,z,1.354
463,1064256,z,2.79
464,1064455,z,3.8035
465,1064638,z,3.2295
466,1064763,z,1.6365
467,1064829,z,1.5645
468,106501,z,1.269
469,1065017,z,1.421
470,1065436,z,2.4005
471,1065494,z,1.6135
472,1065517,z,2.287
473,1065597,z,1.4785
474,106560,z,1.058
475,106565,z,0.9355
476,1065866,z,3.56
477,1066256,z,0.725
478,1066320,z,1.7105
479,1066321,z,0.61
480,1066591,z,3.0825
481,1066712,z,3.3675
482,106691,z,1.2235
483,1066933,z,1.2335
484,1067145,z,1.358
485,1067166,z,1.923
486,1067427,z,1.267
487,106772,i,0.9305
488,1067845,z,3.0545
489,1067925,z,0.9895
490,1067980,z,0.952
491,1068014,z,3.703
492,1068102,z,0.9285
493,1068376,z,0.83
494,1068459,z,3.1855
495,106848,r,0.983
496,1068482,z,1.86
497,1068549,z,2.246
498,1068638,i,0.9905
499,1068679,z,1.0235
500,1068857,i,0.999
501,106913,r,0.7095
502,1069404,z,0.91
503,1069405,z,2.377
504,1069509,z,1.907
505,1069549,z,1.3775
506,1069641,z,1.4595
507,1069757,z,1.409
508,1069792,z,5.75
509,1070095,z,0.5545
510,1070129,i,0.7405
511,1070258,z,1.2035
512,1070734,z,0.988
513,1071025,z,3.722
514,1071552,z,1.5485
515,1071599,z,3.1795
516,1071615,i,1.0585
517,1071846,z,1.9005
518,107190,z,5.2015
519,1072206,z,3.8275
520,1072267,z,0.7875
521,1072282,z,1.182
522,1072667,z,3.354
523,107310,z,0.6085
524,1073116,z,0.5595
525,107313,z,0.9665
526,1073311,z,3.371
527,1073497,z,0.767
528,1073578,z,2.9315
