#Catalina_Surveys_ID Numerical_ID ra dec V_(mag) Period_(days) Amplitude Number_Obs Var_Type ra_deg dec_deg
CSS_J002243.9-025137 1004003047047 00:22:43.96 -02:51:37.8 18.87 0.5440341 0.82 125 4 5.68316666667 -1.1395
CSS_J002414.1-025012 1004003046279 00:24:14.11 -02:50:12.0 13.9 0.287964 0.55 108 1 6.05879166667 -1.16333333333
CSS_J003412.4-013154 1001004022706 00:34:12.46 -01:31:54.6 17.0 138.045 1.31 184 13 8.55191666667 -0.468166666667
CSS_J003428.3+003818 1101004013292 00:34:28.31 +00:38:18.8 14.54 0.274262 0.51 198 1 8.61795833333 0.638555555556
CSS_J003504.7+010845 1101004023765 00:35:04.78 +01:08:45.7 17.35 170.707 0.94 198 13 8.76991666667 1.14602777778
CSS_J003550.3-003145 1001004039812 00:35:50.32 -00:31:45.6 17.03 0.2786720 0.24 186 1 8.95966666667 0.529333333333
CSS_J003604.4-010814 1001004029543 00:36:04.44 -01:08:14.6 16.43 0.310506 0.56 186 1 9.0185 -0.862611111111
CSS_J003813.6+001611 1101004006002 00:38:13.66 +00:16:11.5 16.69 0.23436 0.35 198 1 9.55691666667 0.269861111111
CSS_J003847.0-010012 1001004031934 00:38:47.05 -01:00:12.8 13.82 0.471738 0.08 186 1 9.69604166667 -0.996444444444
CSS_J004125.6+010859 1101004023852 00:41:25.62 +01:08:59.7 17.35 0.3390062 0.43 198 5 10.35675 1.14991666667
CSS_J004254.5+001758 1101004006530 00:42:54.55 +00:17:58.0 16.82 0.3381746 0.4 198 5 10.7272916667 0.299444444444
CSS_J004314.1+003520 1101004012479 00:43:14.14 +00:35:20.6 14.47 0.256278 0.68 198 1 10.8089166667 0.589055555556
CSS_J004340.9-003413 1001004039070 00:43:40.96 -00:34:13.6 15.89 0.3948270 0.15 186 1 10.9206666667 0.570444444444
CSS_J004746.8-005015 1001005035721 00:47:46.88 -00:50:15.7 13.96 0.6750800 0.64 182 2 11.9453333333 0.837694444444
CSS_J004949.7-011212 1001005029084 00:49:49.72 -01:12:12.2 14.55 0.365948 0.49 182 1 12.4571666667 -0.796611111111
CSS_J005019.2-000241 1001005047329 00:50:19.29 -00:02:41.5 17.75 0.230758 0.59 167 1 12.580375 0.0448611111111
CSS_J005051.0+002341 1101005007749 00:50:51.08 +00:23:41.5 16.9 0.29139 0.35 196 1 12.7128333333 0.394861111111
CSS_J005438.5-010221 1001005031832 00:54:38.54 -01:02:21.7 15.33 0.270298 0.23 182 1 13.6605833333 -0.960638888889
CSS_J005711.0-010735 1001006030754 00:57:11.04 -01:07:35.4 14.99 0.344993 0.29 198 1 14.296 -0.8735
