Table 2
System Classifications for All 207 of Our Periodic Objects

Name	Color Class	Spectral Class	Binary Class_g	Binary Class_r	Binary Class_i	
SDSS J195954.01-002031.4	M1	 sdotsdotsdot 	EC*	EC*	ESD	
SDSS J200011.19+003806.5	M4	 sdotsdotsdot 	EC*	EC*	EC*	
SDSS J200022.52+010142.2	M0	 sdotsdotsdot 	EC	ESD	EC	
SDSS J200126.50-010932.7	M0	 sdotsdotsdot 	EC	ESD	ESD	
SDSS J200215.36+001131.4	M0	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J200237.30+000335.4	M1	 sdotsdotsdot 	EC	EC	EC	
SDSS J200352.35+003621.5	M3	 sdotsdotsdot 	EC/ESD	EC	ESD	
SDSS J200432.38+001041.3	M0+WD	 sdotsdotsdot 	EC*	EC*	EC*	
SDSS J200526.79-003355.3	M3	 sdotsdotsdot 	EC	ED	ED*	
SDSS J200537.23-004700.7	M1+WD	 sdotsdotsdot 	EC*	ESD	ESD	
SDSS J200733.65-003802.4	M3+WD	 sdotsdotsdot 	ED	ESD/ED	ED	
SDSS J200939.56+004111.2	M0	 sdotsdotsdot 	EC*	EC	EC	
SDSS J201031.94-010752.5	M1	 sdotsdotsdot 	EC	EC	EC	
SDSS J201210.97-001437.5	M0	 sdotsdotsdot 	EC	EC	ESD	
SDSS J201316.07+004530.8	M2	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J201359.32-003536.5	M0+WD	 sdotsdotsdot 	EC*	EC	EC	
SDSS J201532.52+010620.9	M4	 sdotsdotsdot 	EC	EC	EC	
SDSS J201629.55-005837.7	M0	 sdotsdotsdot 	EC	EC*	EC	
SDSS J201920.65-010418.5	M0	 sdotsdotsdot 	ED*	ED	ED	
SDSS J202005.83-000153.6	M0	 sdotsdotsdot 	EC	EC	ESD	
SDSS J202054.31+011515.0	M2	 sdotsdotsdot 	ESD	ED	ED	
SDSS J202149.34+002125.3	M0	 sdotsdotsdot 	EC	EC*	EC	
SDSS J202247.66-002902.4	M0	 sdotsdotsdot 	EC	EC	EC	
SDSS J202401.30+000910.2	M0	 sdotsdotsdot 	EC*	ED*	EC*	
SDSS J202428.40+004009.2	M2	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J202443.23-000729.2	M1	 sdotsdotsdot 	EC	EC/ESD	EC/ESD	
SDSS J202445.58+001743.7	M0	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J202449.56-000729.3	M0	 sdotsdotsdot 	ED	ED*	ED	
SDSS J202510.30+004747.7	M1+WD	 sdotsdotsdot 	EC*	EC	EC	
SDSS J202518.82-010200.4	M0	 sdotsdotsdot 	EC	EC*	EC	
SDSS J202617.44-003738.6	M2	 sdotsdotsdot 	EC	EC	EC	
SDSS J202651.76-003452.6	M0	 sdotsdotsdot 	EC*	EC*	EC*	
SDSS J202928.30-011327.8	M0	 sdotsdotsdot 	EC	EC	EC	
SDSS J203240.64-011527.6	M1	 sdotsdotsdot 	EC	ESD	ESD	
SDSS J203314.24-000523.1	M2	 sdotsdotsdot 	ED	ED	ED	
SDSS J203400.96-000222.4	M0	 sdotsdotsdot 	EC	EC/ESD	EC	
SDSS J203421.16+011013.2	M0	 sdotsdotsdot 	ED	ED	ED	
SDSS J203454.94+002959.4	M2	 sdotsdotsdot 	ESD	EC/ESD	ESD	
SDSS J203513.10-005239.2	M1	 sdotsdotsdot 	ED*	ED	ED	
SDSS J203521.96-011413.5	M0	 sdotsdotsdot 	EC*	EC*	EC*	
SDSS J203528.19+001908.1	M4+WD	 sdotsdotsdot 	EC*	ED*	ED*	
SDSS J203940.39+001326.7	M1	 sdotsdotsdot 	EC*	EC*	EC*	
SDSS J204138.75+000835.4	M1+WD	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J204218.17-005222.2	M4+WD	 sdotsdotsdot 	ED	ED*	ED	
SDSS J204308.35-001153.3	M0	 sdotsdotsdot 	EC*	EC*	EC	
SDSS J204323.64+000355.0	M0+WD	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J204409.16-010355.6	M0	 sdotsdotsdot 	EC	EC	EC	
SDSS J204427.38+000608.9	M2+WD	 sdotsdotsdot 	ESD	ED	ESD/ED	
SDSS J204928.66-000945.3	M0	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J204959.44-005341.4	M1	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J205129.61+010656.4	M1	 sdotsdotsdot 	ED	ED	ED	
SDSS J205321.73+001536.4	M3+WD	 sdotsdotsdot 	EC/ESD	EC	EC	
SDSS J205322.16-004918.9	M3	 sdotsdotsdot 	ED	ED*	ED*	
SDSS J205329.31-001234.3	M2	 sdotsdotsdot 	ESD	ESD	EC*	
SDSS J205435.12+003300.9	M3	 sdotsdotsdot 	ESD/ED	ESD	ESD	
SDSS J205438.11-005241.9	M0	 sdotsdotsdot 	ESD	EC	EC	
SDSS J205511.92-002309.3	M4+WD	 sdotsdotsdot 	ESD/ED	ED	ED*	
SDSS J205632.59-005627.1	M2	 sdotsdotsdot 	ESD/ED	ESD	ESD/ED	
SDSS J205703.28+000945.9	M0	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J205814.56-010306.0	M2	 sdotsdotsdot 	ESD	ESD	EC/ESD	
SDSS J205826.23-003202.4	M1	 sdotsdotsdot 	ED*	ED	ED	
SDSS J205836.60-001949.6	M2	 sdotsdotsdot 	EC	EC/ESD	EC/ESD	
SDSS J210023.58-004204.1	M0	 sdotsdotsdot 	EC*	EC*	EC*	
SDSS J210302.06+001218.3	M1+WD	 sdotsdotsdot 	ED*	ED	ED	
SDSS J210343.88+000303.2	M2+WD	 sdotsdotsdot 	EC	EC	ESD	
SDSS J210454.18-004653.5	M2	 sdotsdotsdot 	ED*	ED	ED	
SDSS J210558.05-002420.9	M1	 sdotsdotsdot 	ED	ED	ED	
SDSS J210616.41-003934.5	M0	 sdotsdotsdot 	EC	EC	EC	
SDSS J210637.43+001249.8	M1+WD	 sdotsdotsdot 	EC*	EC	EC	
SDSS J210726.81-003231.1	M1	 sdotsdotsdot 	EC	EC	EC	
SDSS J210750.98-000011.8	M2	 sdotsdotsdot 	ED	ED	ED	
SDSS J210803.61+001817.0	M1	 sdotsdotsdot 	EC	EC	EC/ESD	
SDSS J210959.44+000054.9	M2	 sdotsdotsdot 	ED	ED	ED	
SDSS J211314.48+000946.0	M1	 sdotsdotsdot 	ESD/ED	ED	ED	
SDSS J211343.89+004544.3	M3	 sdotsdotsdot 	ESD/ED	ESD	ESD/ED	
SDSS J211428.41-010357.2	M1+WD	M+WD	EC*	EC	EC/ESD	
SDSS J211447.03-002902.1	M1	 sdotsdotsdot 	ESD	ESD	ESD/ED	
SDSS J211529.11-001859.6	M4+WD	 sdotsdotsdot 	ESD	ED	ED	
SDSS J211552.58+010820.5	M4+WD	 sdotsdotsdot 	ED*	ED	ED	
SDSS J211710.61-003141.2	M2	 sdotsdotsdot 	ED*	ED	ED	
SDSS J211735.06+000744.4	M2	 sdotsdotsdot 	ED	ED*	ED	
SDSS J211752.59-001203.3	M1	 sdotsdotsdot 	ESD	ESD	ESD	
SDSS J212203.13-010053.3	M1	 sdotsdotsdot 	ED*	ED*	ED	
SDSS J212257.90-003639.9	M2	 sdotsdotsdot 	ESD	ED*	ED*	
SDSS J212317.32+001452.8	M3+WD	 sdotsdotsdot 	ED*	ED*	ED*	
SDSS J212323.18+001239.8	M1	 sdotsdotsdot 	EC	EC	ESD	
